time,s0,s1,s2,s3,w01,w02,w03,w10,w12,w13,w20,w21,w23,w30,w31,w32
09:52:30.6,0,0,0,0,0,0,0,0,0,0,0.05,0,0,0,0,0
09:52:31.0,0,0,0,0,0,0,0,0,0,0,0.1,0,0,0,0,0
09:52:31.4,0,0,0,0,0,0,0,0,0,0,0.15,0,0,0,0,0
09:52:31.8,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
09:52:32.2,0,0,0,0,0,0,0,0,0,0,0,0,0.05,0,0,0
09:52:32.6,0,0,0,0,0,0,0,0,0,0,0,0,0.1,0,0,0
09:52:33.0,0,0,0,0,0,0,0,0,0,0,0,0,0.15,0,0,0
09:52:33.4,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
09:52:33.8,0,0,0,0,0,0,0,0,0,0,0.05,0,0,0,0,0
09:52:34.2,0,0,0,0,0,0,0,0,0,0,0.1,0,0,0,0,0
09:52:34.6,0,0,0,0,0,0,0,0,0,0,0.15,0,0,0,0,0
09:52:35.0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
09:52:35.4,0,0,0,0,0,0,0,0,0,0,0,0.05,0,0,0,0
09:52:35.8,0,0,0,0,0,0,0,0,0,0,0,0.1,0,0,0,0
09:52:36.2,0,0,0,0,0,0,0,0,0,0,0,0.15,0,0,0,0
09:52:36.6,0,0,0,0,0,0,0,0,0,0,0,0.2,0,0,0,0
09:52:37.0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
09:52:37.5,0,0,0,0,0,0,0,0,0,0,0,0.05,0,0,0,0
09:52:37.9,0,0,0,0,0,0,0,0,0,0,0,0.1,0,0,0,0
09:52:38.3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
09:52:38.7,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
09:52:39.1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
09:52:39.5,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
09:52:39.9,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
09:52:40.3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
09:52:40.7,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
09:52:41.1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
