time,down,right,up,left
14:16:21.2,False,False,False,False
14:16:21.3,False,False,False,False
14:16:21.4,False,False,False,False
14:16:21.5,False,False,False,False
14:16:21.6,False,False,False,False
14:16:21.7,False,False,False,False
14:16:21.8,False,False,False,False
14:16:21.9,False,False,False,False
14:16:22.0,False,False,False,False
14:16:22.1,False,False,False,False
14:16:22.2,False,False,False,False
14:16:22.3,False,False,False,False
14:16:22.4,False,False,False,False
14:16:22.5,False,False,False,False
14:16:22.6,False,False,False,False
14:16:22.7,False,False,False,False
14:16:22.8,False,False,False,False
14:16:22.9,False,False,False,False
14:16:23.0,False,False,False,False
14:16:23.1,False,False,False,False
14:16:23.2,False,False,False,False
14:16:23.3,False,False,False,False
14:16:23.4,False,False,False,False
14:16:23.5,False,False,False,False
14:16:23.6,False,False,False,False
14:16:23.7,False,False,False,False
14:16:23.8,False,False,False,False
14:16:23.9,False,False,False,False
14:16:24.0,False,False,False,False
14:16:24.1,False,False,False,False
14:16:24.2,False,False,False,False
14:16:24.3,False,False,False,False
14:16:24.4,False,False,False,False
14:16:24.5,False,False,False,False
14:16:24.6,False,False,False,False
14:16:24.7,False,False,False,False
14:16:24.8,False,False,False,False
14:16:24.9,False,False,False,False
14:16:25.0,False,False,False,False
14:16:25.1,False,False,False,False
14:16:25.2,False,False,False,False
14:16:25.3,False,False,False,False
14:16:25.4,False,False,False,False
14:16:25.5,False,False,False,False
14:16:25.6,False,False,False,False
14:16:25.7,False,False,False,False
14:16:25.8,False,False,False,False
14:16:25.9,False,False,False,False
14:16:26.0,False,False,False,False
14:16:26.1,False,False,False,False
14:16:26.2,False,False,False,False
14:16:26.3,False,False,False,False
14:16:26.4,False,False,False,False
14:16:26.5,False,False,False,False
14:16:26.6,False,False,False,False
14:16:26.7,False,False,False,False
14:16:26.8,False,False,False,False
14:16:26.9,False,False,False,False
14:16:27.0,False,False,False,False
14:16:27.1,False,False,False,False
14:16:27.2,False,False,False,False
14:16:27.3,False,False,False,False
14:16:27.4,False,False,False,False
14:16:27.5,False,False,False,False
14:16:27.6,False,False,False,False
14:16:27.7,False,False,False,False
14:16:27.8,False,False,False,False
14:16:27.9,False,False,False,False
14:16:28.0,False,False,False,False
14:16:28.1,False,False,False,False
14:16:28.2,False,False,False,False
14:16:28.3,False,False,False,False
14:16:28.4,False,False,False,False
14:16:28.5,False,False,False,False
14:16:28.7,False,False,False,False
14:16:28.8,False,False,False,False
